text,pred_label,true_label
나 아까 선민이도 l/ 안타까워.,0,3
연예인이 혹시 가수나 뭐 l/ 아 저 그 유승은씨 좋아합니다.,0,3
n/ 그래도 아까 그 다혈질 아빠도 심했다 욕은 가족한테 욕은 좀 아니지 않나?,3,2
아니야 조만간 있어 조만간.,3,0
"l/ 근데 좀 신나기는 한 거 같애, 그런 노래 나오면 갑자기.",3,0
그러면은 그거를 되게 싫어하더라.,3,4
아 그런가?,1,3
아 약속을 잡은 상태였어 양쪽 다? b/,3,1
°è´Ü¿¡¼­ ±¼·¶´Ù°í? b/,3,1
"l/ 근데 이제 둘이 되게 통한다고 하더라고, 그 생활하는 거에 있어서는.",3,0
아 없어요?,1,3
하 되게 착하 애였는데 좀.,3,6
으응 l/ 아니 될 수 있지. l/,0,3
"c/ 우리 애들도 애들 그니까 자면은 그렇게 짜증을 내, 꿈속에서 누가 짜증 내나 벼. l/",0,3
인자한 표정으로 내 표정도 그렇게 열심히 보셨다.,3,0
여 연기하는 거 봤어?,3,0
아 그거 아니야?,1,0
c/ 약간 그런 생각하면 너무 우울해.,3,6
아 애호박전 너무 맛있게 생겼었어.,0,3
근데 갑자기 중량 달고 하면서 그거 잡고 막 이렇게 막 해.,3,0
c/ 그래서 안에서 잤지 뭐.,3,0
진짜로 아우 싫어. l/,0,4
내가 너무 싫어하는 김 이사.,3,4
N/ 아 신서유기 재밌지 어.,0,3
"c/ l/ 하하 꼰대네, 응.",3,0
또 계산을 안 해가지고.,3,2
l/ 나는 생일?,0,3
c/ 그래서 엄마가 그래서 엄마가 정신 차려서 딱 그거를 딱 나왔다고 한 얘기가 너무 웃긴 거야.,0,3
그리고 또 따른 거 얘기해봐 재밌는 거.,0,3
l/ 천천히가 제일 어렵지.,0,3
b/ 그만 좀 가르치라고.,3,2
"u/ 걔는 그냥 내가 뭔가를 사줬는데도 별 반응도 없고 그냥 무덤덤하니까 내가 헤어지자 했지, 짜증 나가지고.",3,4
l/ 밀쳐냈거든.,0,3
그러게 이렇게 씁쓸하지. l/,0,3
"c/ 네, n/ 아 너무 목소리가 좋으시더라고요.",0,3
"근데 다시 이제 했는데, 다시 이제 뭐 잘 사귀는가 싶더니만 또 내 친구, 다른 친구 또 내 다른 친구를.",3,2
n/ 스트레스 받아서 하기 싫어.,3,2
그냥 그때 생각났어 갑자기.,3,0
으음 너무 재밌다.,0,3
"무서워 무, 좀 불안해지고 무서웠어.",3,5
윤익이도 골게 생겼어. l/,0,3
l/ 그 나는 너도 있었나 그때?,0,3
l/ 아 진짜로? l/,0,1
u/ 그니까 약간 내가 먼저 인사를 해주고 먼저 이렇게 이렇게 다가와 주고 하면은 자연스럽게 인사도 하고 먼저 막 어떻게 뭐 아는 체도 하고 막 살갑게 대할 텐데 그게 전혀 없으면서 자기한테 그래그래 가진 게 없는데 위세는 부리고 싶은 거지.,3,4
c/ 아 바쁘시구나 많이 l/ 아 바쁘신가 보네요.,0,3
u/ 거기 가면 꼭 먹는 게 떡볶이 막 구멍 나 있는 거랑 그 빙수랑 딱 같이 두 개는 무조건 시켜서 먹는 거 같애.,3,0
아 이 사연들을 보면 참 b/ 별의 별 사람이 다 있구나. l/,0,3
지금 정확히는 기억이 안 나는데 그냥 놀러 놀러 가는 거였는데 그냥 내가 평소에 입던 대로 입었다고 그냥 태클을 걸었더라고 그냥 내가 봤을 때는 그냥 그날 기분이 나빴는데 화풀이 대상이 필요했던 거 같아. b/,3,2
l/ 아 u/ 아 b/ 그니까 나는 b/ 그래.,3,0
c/ 어 그래서 그런 가게들을 갈 때면 맨날 엄마 생각이 되게 자주 났어.,3,0
아 이거는 얘기할 거 많아.,3,0
그러다 방에 들어 가면은 다시 골아.,3,0
근데 하고서 딱 왔는데 u/ 나치고 막 어 막 조크 조크 막 이래가지고 와 진짜 그때.,0,3
"c/ 근데 사 남자애 밥 위에 올려줬는데 아빠가 그걸 보고 화나서 밥상을 화나서 뒤집어엎은 거야 내가, 내가 애기 때.",0,3
군대에서 l/ 뭐 맞고 살았어?,0,3
어어 없지 않아 있어.,3,0
이렇게 이렇게 하지 마?,1,0
이빨 빠진 게?,3,1
b/ 어머니 왜?,1,3
c/ 이런 왜 저런 어 약간 그 이해 못 해서.,3,4
"뭔 제삿밥이냐고 요즘 시대에 제삿밥이냐고, 야 내가 너 너 오죽했으면은 야 나 먼, 너 먼저 죽어라 내가 너 어 납골당에다가 고이고이 모셔둘라니까 이랬다니까.",3,2
또 생각하니까 슬프네.,3,6
아 아 그 잠꼬대하는 선임을?,3,1
그니까 나이가 높으신 그렇게 u/ 안 되지만 나이가 높으신 분들은 약간 b/ 나이로 사람을 좀 무시하는 경향이 있으신 분들이 있는 거 같애.,3,4
"근데 헤어지고 나서 거의 b/ 막 환승 환승이라고 하지 그냥 환승을 좀 당했으니까 물론 내가 헤어지자고 한 거긴 한데 b/ 그래서 그냥 사귈 때 당시에는 좋은 추억, 좋은 기억이 그래도 꽤 있는데 헤어지고 나서 그러니까 그냥 그래도 근데 또 동아 같은 동아리라서 자주 보게 된단 말이야.",3,6
"그 너도 술 잘 안 먹잖아, 근데.",3,0
c/ 그 맨날 페북이랑 막 그런데 그래가지고 난 별로 재미가 없었어. l/,3,0
l/ 그래 오히려 우리가 이 오히려 이제 오히려 엄마한테 더 맛있는 거 밖에거 먹고 먹이고 싶으니까 엄마 나가서 먹자 막 우리가 아 맛있는데 알아봤다 막 이러는데 엄마는 우리는 막 엄마 밥이 먹고 싶어도 약간 엄마한테 맛있는 걸 먹여야겠다 약간 이런 마음이고?,0,3
울었어 그래서?,1,3
l/ 당연히 있지.,0,3
"맞아, 그런 건 다 엄마한테 물어 보게 된다.",3,0
c/ 핸드폰 가게에서 얼마나 많이 받았는데.,3,0
c/ 언니는 꼰대가 언니 주변에 많다고 생각하세요?,3,0
快府绰 拌加 诀公牢单.,3,2
"u/ 개 또라이새끼네 진짜, 그래갖고 생각해 보니까는 사귀는 동안 아무 지 친구도 보여준 적도 없고 뭐 한 적도 없고 어 그런 거지.",3,2
그게 더 화가 나가지고 그 친구는 아직도 잊지는 못해.,3,2
아 강 강변가요제하고 이럴 때가 쪼금 재밌었지.,0,3
어 l/ 그때도 너네가 몇 번 깨우지 않았냐?,0,3
왜냐면 지 지금 그 여자애 남자친구랑도 난 지금 뭐 치 친하기도 하고 하니까 근데 막 나한테 잘해주고 하는데 무슨 생각으로 막 이러나 그냥 싶기도 하지.,3,6
막 목소리가 좀 힘드신 목소리거나 뭐 좀 아픈 목소리면은 그냥 걱정부터 돼.,3,6
c/ 진짜 본 그게 더 웃긴 거 같.,0,3
l/ 아 17년도에 있었어.,0,3
아 그럼 치워야지.,0,3
코는 안 골았던 거 같아. l/,0,3
그런 거 보면 b/ 아 엄마 진짜 대단하다 그런 생각 들고 미안하기도 하고.,3,6
모르겠고 l/ 모르.,0,3
무한도전이 제일 재밌어.,0,3
으응 b/ 나는 아니야.,3,0
"태워, 어 집에 l/ 집에 못 태워다 주신대.",0,3
어 진짜 이 영화 마음이 응응 이런 느낌이야.,3,6
난 진짜 그거 다 들어주는 사람들 이해가 안 되더라.,3,2
군부대나 막 그런 데서도 AI를 쓸 텐데 그러면 b/ 더 위험해 지지 않을까.,3,5
"응, 음 로봇이면 번역기라도 있지. l/",0,3
난 그 신천지 한 번 잡혀가지고 뭐 예수 믿으라고 하길래 예수 당신이나 많이 믿으라고 하고 도망은 많이 갔지.,3,0
왜 지 혼자?,3,1
"이 저 저, 재밌, 재미가 있을 줄 몰랐었는데 그게 그 첫 번째 티저 영상 말고 그 첫 번째 에피소드 그 영상이 저 가짜 사나이 2기 그거 조회 수가 천만이 넘어갔어요.",3,1
아 그냥 트는 거야? l/,0,3
아니 없어. l/,0,3
"집에 있는 게 좋아요, 지금은. l/",0,3
어 그 평소에 컬투쇼 많이 봤어요?,3,0
b/ 그리고 신서유기도 재밌었고 또 뭐가 재밌었지?,0,3
"그니까 검사를 u/ 그래서 머리가 띵한가, 지금도? l/",3,0
아이노 아이노.,0,3
어 너무 재밌어.,0,3
"어 막 엄마가 좋, 엄마랑 아빠 중에 둘 중에 누가 좋냐. l/",0,3
오빠 결혼할 때 결혼식을 하는데 우리는 엄마 아빠는 혼주석에 있고 나는 그냥 가족석에서 보고 있는데 그 오빠랑 언니가 엄마한테 인사할 때 나 혼자 오열했잖아. l/,0,3
엄마 어어어어 그래서 내가 너무 화가 나가지고 그럼 내가 뭘 해야 되는 거냐고 나도 그렇게 화를 냈지 그 사람한테 처음으로 그래가지고 그 뒤로 아 나 여기서 일 못하겠다고 매니저님 때문에 어 그런 거 난 너무 싫다고 그래가지고 그만뒀잖아.,3,2
l/ 나도 아예 빅스비 아예 음성 녹음 안 해가지고.,0,3
안 시키기도 하고 그냥 같은 남자들이 보통 이제 아무래도 상급자들은 남자들이 많다 보니까 자기네들끼리 남자라고 담배 피우러 나가고 술 먹으러 다니고 여자들은 커피 타라 그러고 청소하라 그러고.,3,2
맞아요 근데 처음부터 이제 어머니가 좀 너무 울 거 같은 표정으로 b/ 심각하게 얘기하셔서 뭔가 저도 축 처지고 뭔가 진지하게 몰입하게 되는 상황 자체가 좀 진지해지는 슬픈 거 같애.,3,6
근데 멍청했던 게 알고 보니까 그 이렇게 계단 타고 내려가는 거기가 다른 게 아니라 좌우가 다른 거여 가지고 나 완전 멍청한 짓 했었잖아. l/,0,3
왜냐하면 걔네 아빠가 나한테도 오빠랑이 일찍 들여보내달라 하도 사고 치고 다니니까 그래서 응 가라 했어 가서 연락해 그런날이 많았는데 그때마다 그 여자를 만난 거야.,3,2
영광을 한 2주에 한 번 찾아갔더니 아빠가 좋아하고 좋아하는 티를 안내다가 다른 사람 있으면 요새 철들어가지고 막 그런 얘기를 한다고 b/ 그러면서 그러면서 느꼈지.,3,0
내가 물어본 건 아니고 n/ 어떤 할아 내가 버스를 탈려고 정류장에서 기다리고 있는데 어떤 할아버지분이 오셔가지고 l/ 되게 급하게 나한테 말을 거시는 거야.,0,3
b/ 아 집 밥하니까 잡채밖에 생각이 안 난다. l/,0,3
俺 区坷 绢侗秦 快府 脚尔捞尔 度鞍局.,3,4
"우리 아빠는 l/ 우리 아빠는 아까 그 동영상 그거 그런 거 때문에 이혼 당했잖아, l/ 엄마한테.",0,3
뭐 직접적으로는 이렇게 오줌을 갈기신 거예요?,3,1
어어 아 그래?,1,3
어 나 그 누구지 젝스키스 나오는 편 때 울컥해가지고 막 아 어떻게 이러면서 봤다니까 그 세대도 아닌데.,3,0
l/ 일어났는데 거실에 누워있는 거야.,0,3
그거를 들어 주는 사람들이 있으니까 그런 사람들이 나오고 그래서 그때 그 코로나 그 난리가 난 거야.,3,2
솔직히 이제 아빠의 힘도 많이 빠지고 그런 거 다 아는데도 무섭더라고.,3,5
b/ 아 그지 군대가 많지.,0,3
"u/ 아, 아 맞어.",3,0
아 시리밖에 없어?,1,3
우와 진짜 잘하나 보네.,3,1
그건 나랑 상관없다고 나는 지금 내가 근육 좋아서 하는 거지 여자 땜에 그러는 거 아니라고.,3,0
N/ 엄마가 이 갈아 근데. l/,0,3
"거 어두웠는데 u/ 가로등도 없었고 해가지고 내가 어 승광아 하면서 손을 흔들었어, 나도 모르게.",0,3
그리고 밥 먹을 때도 만약에 축구분대 늦게 왔다 그러면 밥 안 맥이고 그냥 내보내고 축구하러 가라고.,3,2
"c/ 어 언제까지 계속 같이 살 순 없잖아, 언젠가는 이제 헤어짐이 있을텐데 b/ 좀 그런 걱정도 되고.",3,6
그게 나는 너무 좀 끔찍했어.,3,5
l/ 어 어 진짜 좋아했어.,0,3
"그래서 아 이게 지진이구나 그래서 되게 놀랐었어, 그때.",3,1
그니까 더 환경도 좋으면서 l/ 아 아니 그래도 응 달라졌는데 그래도 시대가 무조건 거기에 n/ 맞추라고. l/ n/,0,2
어어 좋다.,0,3
아 어른하고?,1,3
"진짜, 진짜 자주 눌렸어 가위.",0,3
아 내가 보다가 너무 재밌고 웃기면은 불러 불러가지고 알려주지.,0,3
으아어 그 계속 바꾸는 거.,3,0
c/ 세 번인가 깨운 거 같은데 나 자고 있을 때. l/,0,3
"아 그때 기분이 좋지, 그리고 그다음에 상장이 학교로 온다.",3,0
"재밌잖아요, 그냥 별거 아닌, 아니더라도.",3,0
아니 그 사랑아 보영해가 너무 세던데. b/,0,3
아 아 근데 개그 코드가 딱 그 코드야.,3,0
들어간 재료도 똑같고 다 아니 다른 애들은 다 크기도 다르고 약간 밥 양도 다르고 하는데 그 네 명이 완전 똑같애.,3,0
나도 많이 힘들다 선임들이 막 내가 하기 싫은 거 시켜가지고 나 너 혼내기 싫은데 너 혼내라고 막 계속 시켜가지고.,3,6
괜찮냐는 말 한마디도 없이.,3,2
막 그래가지고 여자애가 목소리가 마음에 든다 하고 한 번 만나보재.,3,0
"Â§ÇØ, ³Ê¹«.",0,6
저 영화 오늘 집에 가서 봐야겠다.,3,0
c/ 끝까 끝까지 앞으로.,3,0
"그리고 어 음 l/ 어 다음, 다음 건 무한도전이니까 완전 웃길 거 같애.",0,3
그럼 다 인사하고 다녀?,0,3
"b/ 진짜 b/ 얼, 저번에 보는데 갑자기 강호동이 막 김희철한테 뭐라 하냐면 요즘 방송하기 편하지. l/",3,0
와 장난 아니었는데 나 진짜.,3,4
"그래서 난 너무 마음에 안 들었지, 진짜.",3,2
"맞아, 그리고 진짜 거의 요즘에는 친구처럼 완전 너무너무 친구처럼 편해졌어 엄마가 졸업하고 나서. b/",3,0
아 그냥 갑자기?,1,3
AI랑 같이 사는데 막 감정이 생기면 좀 무서워 질 거 같지 않아?,3,5
난 내가 안 해 먹지만. l/,0,3
아오 뭐 진짜.,1,2
아아 그 남자분 어 맞아 맞아 맞아.,3,0
"¹¹¾ß, °³ ²Á´ë³×.",3,4
그때 기억에 남았었는데.,3,6
¾È ¼¼ºÃ¾î? l/,0,1
"l/ 어 그니까 u/ 마음을 표현을 잘 하는 거 같애, 술 마시면은 다 그러긴 하지만. b/",3,0
l/ 새벽 두시에?,0,1
b/ OECD°¡ ¹®Á¨°¡? l/,0,3
친구도 아니다.,3,2
"b/ 둘이 자취해요, 두 명이서.",3,0
주름이 막 이렇게 생긴 거야.,3,6
l/ 어디 그릇 이런 거 던지고.,0,3
"그래갖고 그거 애들이 아빠 그거 꼭 쓰고 자라고 아빠 안 쓰고 자면 너무 시끄럽다고 해가지고 아빠 안 쓰고 자는 거 같으면 그거 갖다 준대, 쓰고 아빠 쓰라고 이거 얼른.",3,0
"c/ 어, 나 그거 막걸리 그거 먹 막걸리 그 파전 파전 파전 나오는 거 부치고 어 나 그래서 바로 시킨 거야 어, 그거 보자마자.",3,0
"진짜 어이가 없어가지고 애, 애들 뭐 고생시킬 일 있냐고.",3,2
근데 만약 걔네가 복학을 했는데 약간 그렇게 생각을 할 거라고 생각하니까 나는 되게 마음이 안 좋았어.,3,6
"아, 짜증 나지. l/",0,3
아 케찹 안 좋아해요?,1,3
너도 좋아하잖아?,1,3
l/ 어 그러니까.,0,3
음 거기서도 그거 하고 있더라고 살짝 그 양반 짠하게 AI랑 끝말잇기. l/,0,3
아 언니 알아?,1,3
n/ 아 강식당도 나왔었어?,3,1
"응, 입 밖에 안 보였는데 l/ 입 밖에 안 보였는데.",3,0
기준 그니까 그 기준을 딱 잡고 그 꼰대 그니까 아까 그 영상에서 나온 거 때의 기준을 잡고 꼰대라고 하면은 야 거기 나도 꼰대지 그거는 l/ 거기서는.,3,0
l/ 이천희가 무 닦는 거 알아?,0,3
그거 자꾸 켜져서 짜증 나. l/,0,3
난 옛날에 할머니랑 삼겹살 구워 먹던 것도 기억나 삼겹살을 할머니랑 진짜 굽는데 둘 다 못 구우니까 막 다 다 탄 거 할머니가 먹고 나는 또 안 익은 거 주고 잘 익은 게 없는 거야.,3,0
그것 진짜 웃겼었는데.,3,0
건강에 좀 많이 안 좋은 거 아니야? l/,0,3
아 진짜 그 말 들으면 엄청 열받거든.,0,3
일단은 우리도 학교에서 몇 번 있었잖아. l/,0,3
그면은 걔 멘트가 재밌잖아.,0,3
어 나는 그때 안산에서 대학교 다닐 때 그때 친구들이랑 술을 먹는데 l/ 한참 그 아프리카TV? 뭐 그거 하는 사람이 안산에 있대.,3,0
어 애기 때 어 웃긴 게 동생이랑 나랑 방에서 자는데 동생이 엄마 아빠 침대로 가서 잔 거야.,0,3
"l/ 아니야 난 근데 진짜 많이 당하거든, 그거. b/",0,3
그래가지고 이제 어 아아아 선물을 하나 가져가보래 자기가 원하는 거를 그래서 난 제일 큰 거를 골랐지 근데 언니는 조그만 거를 골랐어.,3,0
l/ 너 어 너 거기 MT 가서도 그랬었잖아.,0,3
"c/ 그 늦은 시간에 먹는 먹어서 맛있는 건지 아니면 엄마가 맛있 엄마가 해줘서 맛있는 건지는 모르겠지만 b/ 그게 그렇게 맛있더라고, 나는.",3,0
"아이 근데 가끔 가다 한 번 AI가 깼었어, 밤에.",3,0
어 그 l/ 위험해. l/,0,3
맞아 손님이야. l/,0,3
¾î ³Ê¹« Â§ÇØ.,0,6
그럼 막 이렇게 뒷정리를 해야 되는데 이제 내가 이제 선배였을 땐데 b/ 뒷정리를 해야 될 때 후배들이 손 하나 까딱을 안 하는 거야.,3,2
어 그거 보고 아 진짜 u/ 진짜 꽉 막혔구나.,0,3
뭐 추억은 딱히 없는데 그냥 나는 그냥 아버지만 봐도 살짝 울컥하는 게 뭐 자기 몸이 어떻든 막 힘들든 아프든 막 스트레스 받든 막 그냥 꾹 참고 막 우리 먹여 살리려고 이제 출근을 하고 막 일을 열심히 하잖아.,3,6
어어어어 그거 아 완전 재밌더라.,0,3
b/ 나 아니야.,3,0
"아 우리 애기 아빠도 막 그 옛날 마인드 있어가지고 진짜 완전 어 그 있어갖고 제사 지 뭐라는지 알아, 애들한테 지 죽으면 제삿밥 얻어먹는다는 거야 그래서 내가 미쳤다고 어 얘.",0,2
나도 진짜 가족이랑 연락 엄청 안 하고 살긴 하지.,3,6
근데 우리 아빠는 우리 집 안이 우울하게 안 놔뒀어.,3,6
"그 우위라는 단어가 좀 그랬어, 그면 자기가 약간 남자들 우위에 서고 싶다 약간 이거잖아, 평등이 아니라.",3,2
c/ 辟单 败匡捞菌绰单 b/ 捞力 弊 骏揪根 舅烈 骏揪根. l/,0,3
"난 마지막에 본 거 아줌마 때문에 기억이 나, 앞에게 안 남았고.",3,0
에이 그때라도 내 인싸력을 뿜뿜해야지.,3,0
요즘 애들 모를걸. l/,0,3
"진짜 그러코서는 속으로 아 저 새끼 좋은데 취업하면 내가 l/ 이를 간다, 이랬는데. l/",0,3
"그래가지고 골프존 사장이 양주 사준다 하던데 근데 어제 새벽 두시에 전화 와서, 죽겄다. l/",0,3
"b/ 그래, 손이 없어 발이 없어.",3,2
"저도 이 이, 얘기 한번 꺼냈다 진짜 호적에서 파일 뻔. l/",0,3
너한테만 적대적인 거네. l/,0,3
b/ 난 군대에 있을 때 이게 데자뷰일 수 있는데 나는 선후임이 둘 다 코를 엄청 골았거든.,3,0
어 나랑 친해져서 그 친구랑 친해지려. n/ l/,0,2
언니가 했던 말 중에 하나가 엄마가 집에 아빠는 이제 엄마는 결혼 하자부터 아팠어.,3,6
b/ 난 그래서 그 친구랑 얘기 잘 안 해.,3,4
b/ 요즘엔 핸드폰이 자꾸 그 뭐지 빅스비였나? l/,0,3
그게 나 때는 말이야 이거지. l/,0,3
l/ 어 오키오키.,0,3
울컥하기도 하고?,6,3
c/ 어 b/ 응 사랑해 응하고 씨익 웃고 그래서 둘이 잠꼬대가 심하긴 해 채율이도 막 누가 그렇게 때리나 때리나 암튼 누가 그렇게 막.,3,0
c/ 아 옛날에 신기하네요 몽유병.,3,1
"그러고 있, 어 너무 무섭더래 아빠가 그 누워있는 모습이, 그래갖고 있다가 이제 애가 있으니까 서울 가서 짐을 챙겨 오려고 서울 간 사이에 돌아가신 거야.",3,6
어 그 선임 어어어 요새 근데 좋아졌다더니만 애들이 진짜 막 그거네.,0,3
ав╬Н ав╬Н аЬб╔.,3,0
l/ 아 남성 두 분이셨어요?,0,3
l/ 그래서 되게 인사를 열심히 하다가 그 이후로 안 하게 됐어. l/,3,0
l/ 나 난 근데 아까 봤던 게 좀 그거 봤던 것들이라서.,3,0
"아 자, 잠방하고 있는데?",3,0
어 아 잠꼬대 하면서?,1,3
근데 그 무당 할머니가 와 가지고 채찍으로 막 때리는 거여.,3,0
아니 그냥. l/,0,3
근데 내가 그냥 원래 별로 안 좋아하니까 눈 피하고 갔는데 이경아 너 언니 봤으면 인사를 해야지 이러는 거야.,3,2
너 어 너무 막 착하게만 행동하지도 않지만 또 어쩔 때는 나도 모르게 착하게 하고 있고 바보같이 하고 있고 스트레스 받고.,3,0
b/ 그거 잠꼬대 아닌 거 같은데. l/,3,0
"날 꼭 잡고 얘기 좀 하자는 시 사람들이 좀 많아, 근데 다 이상하신 분들이긴 해.",3,0
어 어어 혹시 어떤 가수?,1,3
그래서 차 타고 나오는데 갑자기 차가 에어백이 터졌어.,3,1
c/ 그래서 내가 엄마 아빠가 동생만 사랑해 하면서 문 앞에서 눈물을 소리도 못 내고 눈물만 뚝뚝 흘렸어.,3,6
"u/ 나는 그때 모르겠어, 이제 b/ 익산 황등에서 이제 지진이 났던 응 그때는 집 쇼파에 앉아 있는데 이렇게 그네 태우 듯이 이렇게 흔들리는 거야.",3,0
c/ 페이스북이나 인스타그램에서 가끔 악 막 아까 그것처럼 오분 순삭 그거 짤로 막 짧게 짧게 올라오는데 지금 봐도 너무 웃기지 않아?,0,3
나도 나도 저런 자연재해가 제일 자연재해가 제일 무서운 거 같애.,3,5
u/ 약간 약간 불편한데 이 생각 하고 막 이랬었는데 u/ 그 친구도 너무 꼬였어.,3,4
어 그런데도 안 일어나가지고 포기하고 그냥 자버렸잖아.,3,0
응 안 깨네?,3,1
"아 그건 또 처음 들었네, 어.",3,1
아 뒤에서?,1,3
근데 그 아들한테 너 집에 들어올 생각 말아라 뭐 누군가 찾아오겐 u/ 온다 택배가 왔으니까 뭐 이런 식으로 보내가지고 내가 u/ 정말 당황한 거야.,3,1
b/ 좀 그게 너무 별로야 캉. l/,0,3
방독면을 씌워?,3,0
어 막 난 한 번은 너무 이렇게 불안하다 보니까 아까 이제 영상은 막 막 켁켁켁켁 했다고 했잖아.,3,0
b/ 대박이다.,3,1
"아 진짜로, 진짜 심하다니까.",3,0
테스트해봤어?,1,3
아 왜 l/ 아니 그 그 후로 나를 해줘도 됐잖아. l/,0,1
사귀고 있는데 그게 가능하다고?,3,1
"c/ 그리고 이수 그 김수정 뭐지? 임수정? 걔는 진짜 어 진짜 이쁘게 생겼어 진짜 얼굴이 진짜 얼굴이 요만해, 어어.",0,3
그게 두세 번밖에 안 돼?,3,1
또 몽유병?.,1,3
"c/ 근데 누가 봐도 갓 스무 살이 된 남자가 b/ 막 웃으면서 달려오는 거야, 그래서 어 저 사람 뭐야 이렇게 보고 있었는데 b/ 안녕하세요 안녕하세요 새해 복 많이 받으세요 행복하세요 이러면서 막 자기가 손에 사탕이 있다고 막 이렇게 사람들한테 막 주고 다니는 거야 그래서 친구들이 막 후다닥 달려 와서 b/ 죄송합니다 죄송합니다 이러면서 데려갔었어.",0,3
"맞아, 그래서 그 둘이 지금 자취하는데 그 둘이 방 써요.",3,0
l/ 혹시 뭐 이런 그 경험 같은 거 있었어요?,0,3
b/ 나 그거 보고 엄청 터져서 울었거든.,6,3
어 그것도 안 해?,3,1
MC도 중요한데 편집도 진짜 너무 재밌는 거 같애.,0,3
u/ 어 그게 제일 무서워 솔직히.,3,5
³ª À¯Æ©ºê.,0,3
l/ ÇÑ ÅÐ ÇÑ ÅÐ »«´Ù°í »ý°¢ÇØºÁ.,0,3
침대에 토를 하면서.,3,1
"그 우리 엄마가 유산도 하고 그랬거든, 그래가지고 음 굉장히 좀 내 아픈 손가락이 있어요 우리 엄마도 l/ 그래서.",0,6
음 l/ 우리 집은 b/ 엄마랑 순덕이가 제일 심한 듯.,3,0
아 아직도 나 갈아?,1,3
공부한다고 헤어지고. l/,0,3
c/ 미 여진으로 계속 한 3도짜리 가고 있는데 무서워.,3,5
"어, 그래가지고 오빠 결혼할 때도 혼자 막 울고 그리고 엄마도 울고 누가 보면 언니가 오빠 잡아가는 줄.",3,0
아으 입 입만 쳐다보게 되더라 그 뒤로.,3,0
c/ 할 건 할 해야 되는 성격이고 이게 지나치면 꼰대가 될 수 있는 아주 위험하지. l/,3,0
어어어 어어 나 그거 아는 형님 한 번씩 봤어.,0,3
c/ 근데 그게 아니라 애들 다 빡쳐가지고 허어 이 새끼들 진짜 뭐 하는 짓이냐 이럴라고 대학 들어왔냐 막 이러면서 운 건데 아 그것 좀 이해가 안 갔고.,3,2
혼자 유재석의 무한도전이야.,3,0
그 u/ 어 아형 재밌어.,0,3
근데 얼마나 급했으면 모르는 사람한테 그렇게 가져오라고 b/ 근데 할아버지도 착하신 거 같애.,3,0
l/ 언니 얘기였네 말하다 보니까 본인 얘기야 b/ 응.,3,0
